source,target
4435,2307
772,4250
565,3671
2102,3897
3607,2824
1692,450
3975,2791
4438,4653
2699,173
4513,3680
304,3437
2325,3853
4054,3637
4773,1188
193,3677
2381,1875
3847,764
3550,3338
3938,1096
4602,1991
3292,4844
549,1630
2247,4995
2916,4201
4818,3890
365,4334
107,3111
3301,4198
1814,1258
3473,4443
3203,32
4572,1244
1941,1336
4029,1080
1128,3990
2502,4101
514,579
65,2916
503,1142
4344,4943
1253,345
2088,2018
4389,1589
845,2266
4689,3351
2855,3655
1931,1269
1693,1435
507,12
2320,3055
205,823
3669,4237
1487,3079
2137,2474
856,234
2606,4316
4188,2672
1364,3792
3691,2369
1987,2289
240,3915
3533,2048
2431,801
1522,4429
2225,2179
4082,350
1683,1049
1297,1298
4577,1559
2632,817
1662,2002
1683,1120
1617,2608
706,23
4609,4597
376,1802
3507,1771
1209,3445
4376,1935
2124,2425
3932,3597
1042,2085
2003,1400
3804,1671
1363,3906
1847,1352
3361,1899
2830,1700
1726,2594
1756,2043
4830,335
3887,2607
4183,4768
2689,4928
4675,2380
1717,2491
1347,4073
2412,3417
1184,550
1862,1499
3268,3729
1989,2656
3322,3436
88,3501
4029,2619
4084,2559
4779,2615
2178,1274
2595,3560
3028,1096
1118,1947
1350,1564
3921,4422
2687,4238
3964,4631
1162,3578
2530,4985
4355,4148
216,4493
1694,4853
3119,2361
539,1517
4399,2099
3102,4863
902,2334
1506,4559
2675,3710
1664,4345
4244,4601
3552,3708
2721,1846
4476,2163
3765,87
4859,2311
4721,3631
3662,4920
3321,1264
4645,3345
2510,2075
3433,3313
2819,653
128,3916
2659,598
3151,4242
1285,3220
2829,3787
1290,1264
1174,3566
1372,2974
1967,1150
3520,3401
4891,4957
2471,594
3007,3480
3052,1532
420,4807
4192,1015
2391,3496
703,4819
2808,676
4083,900
1178,45
546,1599
1326,1278
3667,149
944,1206
612,15
110,3422
2308,3898
2939,4556
2776,3152
4422,1205
496,3222
4828,2979
2912,2071
4906,1183
2933,392
1106,2727
3387,549
257,365
856,4841
3190,1395
4705,3861
2507,280
330,888
4734,4715
4667,2420
3872,721
1017,133
4632,689
3783,2569
4218,3714
4005,2980
1879,4218
3172,3876
4489,1340
3466,4289
535,503
3176,876
4965,2116
937,1746
2952,3609
2159,2928
1491,4194
4627,449
3002,4579
4938,4581
1568,4491
3320,1242
3858,2795
2226,1034
4966,4268
763,1726
1417,2441
3159,2528
3785,744
1943,555
2747,3002
2414,4468
1814,3182
1118,1917
2944,4757
2682,3475
4447,4713
2507,440
3571,4004
683,1181
579,1240
387,4228
2094,694
3642,3493
3796,1182
30,2859
4721,3697
546,57
1359,1910
681,2094
154,416
1618,1397
1268,3810
3316,1279
2379,2428
3154,4479
2990,2037
4222,4314
1177,1480
1867,818
848,3752
3873,1235
719,2661
4145,295
3262,3769
4413,4171
3399,3665
2363,4111
1557,1476
3305,752
2975,1276
2011,2069
1652,738
1735,2590
306,4337
4395,68
4167,2106
2469,1611
1526,2641
3816,502
3852,3489
2575,1880
1742,1875
450,4997
1903,86
3443,206
2621,3362
4633,1316
3006,839
3290,4805
3691,22
142,3544
36,842
2093,1215
2144,615
3727,3207
3786,4749
1243,2394
4542,1901
3399,1270
149,4107
2580,4518
2736,4162
2918,3423
3299,2390
4840,825
3723,1378
3447,2747
1673,723
65,245
2102,1728
3337,3619
4478,3002
222,3806
3112,4524
1162,1583
1624,3912
3515,4005
208,85
3883,4172
1004,4050
2401,2654
4142,795
4813,3235
3551,2884
3896,3674
2459,1116
1614,3002
2155,1248
3832,4400
2361,2367
587,2588
3920,1541
2775,4872
1738,3600
728,886
3681,236
2443,3379
997,1267
279,402
1749,1991
3236,1816
2689,817
1303,4352
4291,1809
2620,1601
2736,3708
5,2377
99,1412
4141,275
1408,1673
2299,2310
575,2948
546,989
3839,2140
2144,1523
4331,127
65,4227
3253,4353
1143,3273
1469,2034
1727,2866
1343,3477
1488,2933
2425,3223
1024,4310
1997,4674
223,4245
3654,1123
2310,4332
1783,568
321,977
3930,1110
2590,4875
1805,862
3063,3561
830,3612
84,131
2185,4025
4704,368
4187,3206
584,1644
4891,4397
891,2019
3877,4039
3977,927
433,2001
3482,1461
2686,1891
1965,2265
3832,4351
1334,4494
4384,2601
590,685
3257,3253
4745,183
4696,373
2092,460
2459,783
3288,4092
97,3774
3792,4203
2753,2705
2030,1205
2758,1230
2100,4841
3512,2539
3644,1109
1132,4789
2102,1937
501,1777
2090,2613
3533,4177
241,1712
1350,1536
2757,2187
4107,2727
180,695
3889,962
1531,3388
1056,1935
3143,4916
4694,4854
2710,2085
4404,786
918,3179
3164,920
2787,4301
1426,180
2169,3483
1401,4752
4948,2022
757,681
3964,3300
4877,795
2491,172
2290,398
3813,1581
4586,1477
3171,1113
4329,3921
4758,290
429,1294
4427,2126
2147,879
298,1904
4261,3226
725,51
2392,2952
3888,324
965,4872
243,4757
552,4536
4809,2
511,2166
2465,2907
2582,3421
1776,2562
1057,4936
653,889
1666,2542
1629,4487
2415,3266
4459,1110
2166,2731
4915,37
443,4092
4098,3167
2001,4682
4928,32
1456,1344
436,2792
3543,860
2008,4312
4090,830
1310,310
2560,3571
1957,1189
3037,301
2539,1228
48,780
1286,4625
12,1281
4622,247
2701,3519
3200,2036
960,3669
2585,1324
4646,2874
3485,131
211,2930
1551,2428
3597,2201
226,2486
2181,1690
4142,4731
4373,4122
1935,1293
393,2397
1019,4174
4518,1960
3365,4404
444,1392
995,4078
4463,4073
2562,4898
3127,4078
182,634
4686,3718
200,121
890,3432
1000,2562
2557,2445
2801,3823
4897,910
3737,4692
3473,3315
4601,3417
3035,1623
1848,4894
595,2473
3735,1664
4556,1987
2254,4792
1382,1146
3226,1047
4385,2556
2281,1433
2953,1729
4983,2588
3776,4712
497,4565
1203,850
1501,1145
1979,4296
1747,4726
2548,3394
3016,6
2468,3969
4348,3874
4271,943
4969,137
2964,291
4893,3797
3462,462
2754,334
2688,606
2970,3479
4195,502
4349,3930
1551,267
3397,2132
2291,182
1620,219
4992,2824
1831,2825
4459,1743
3058,2002
4920,419
2683,3941
4891,1543
3112,1882
4429,1774
680,3818
4555,2251
2010,4483
769,2695
1613,1268
3633,1513
3058,4256
494,4488
1147,3892
3801,3117
1388,1139
2018,453
3145,1036
3155,1694
3814,4315
4122,350
750,3547
109,2780
993,3084
4819,2483
1760,2452
2722,4939
2616,2881
4831,4284
3891,4892
2986,732
2028,3882
2954,3479
1466,24
4243,2838
1246,123
2146,3586
999,2357
1398,3020
3683,3810
1629,660
1936,3014
2700,4906
1868,4977
2136,4155
198,1728
1004,4649
58,1682
2249,1151
4250,1659
983,1848
3386,4810
603,4713
1388,1296
1232,3642
200,3145
3993,3692
187,3329
3848,1772
3159,2303
4641,4307
2047,642
3196,4640
4153,4259
326,795
4394,2791
2668,2915
271,1326
4054,4379
4086,2625
3320,1179
4367,4710
1163,4257
281,519
3207,220
1859,467
3482,1392
4108,4529
3936,3743
617,4123
4244,3585
2221,2395
3256,4170
1628,703
2443,2993
1397,4774
1470,2435
995,414
4918,1799
6,2651
4871,1634
4040,4077
3862,1241
3752,1092
3706,4047
3434,4662
796,3653
1909,4544
3687,2347
28,4226
1898,4896
1199,3748
1501,2933
4854,1903
1784,3919
2343,2274
2181,556
2756,975
990,270
1521,4445
4286,381
3980,2162
3960,4821
2939,431
355,2434
2397,2798
1632,1412
4264,1891
1964,3100
3004,4952
3128,3395
4463,1231
2615,2689
4359,4871
1426,518
4118,4439
2821,4044
4971,2627
948,685
4145,3906
2642,2598
2717,10
4942,3612
2661,179
3284,2323
1798,2700
1130,1588
2115,164
4171,3862
4698,4483
459,2811
2588,4385
4303,829
389,1868
203,2072
3294,3650
104,464
2513,2869
3262,3134
466,3335
1164,855
1102,2384
4913,4793
3080,759
4182,374
2506,1540
3388,3611
4832,17
1004,182
2405,2250
4182,4027
2867,253
3832,1886
531,2641
3263,3761
4486,4267
805,961
3425,1063
4177,1361
846,1584
49,3079
4440,4148
2946,4623
618,903
2608,4338
737,3771
898,1985
2232,3515
2753,2547
3085,2347
4246,1397
3185,457
375,3121
2722,1273
2512,3509
2838,2089
99,3303
3866,2636
3260,4208
3762,4254
1382,330
2683,4562
2806,3472
3908,2773
3066,2628
754,1598
3751,3322
1778,709
161,4818
43,4111
4456,3249
1941,575
1592,484
1570,4317
2583,2739
4894,3700
986,2124
4978,2752
1988,810
15,4855
2319,3661
4058,488
4363,2459
2038,372
40,4492
2369,1487
651,4885
2233,4986
4831,2953
4365,4870
4393,804
1577,3588
537,3938
2626,1813
2413,1874
2832,4912
1557,3257
1716,2134
371,3670
777,2888
1114,2390
3595,3928
4935,3627
1390,4960
3072,1611
1358,4711
4999,221
868,1627
2846,1147
4711,3947
643,809
3541,3339
2904,273
2037,4632
225,733
4276,214
686,2941
3491,4382
3762,4479
4868,4728
3409,1950
1772,14
774,4661
2321,2149
193,218
886,1988
2640,2841
829,1628
3291,3326
71,1574
2404,209
4144,3015
937,2432
1332,4775
2090,1435
587,3396
825,1496
4846,934
161,1050
1770,525
3722,3691
3853,4805
2348,3204
4695,4928
4950,3743
4210,1539
4333,4660
1481,2735
1935,952
3036,1150
3455,3027
2492,2522
4277,1746
4926,4736
2080,2824
2032,1987
2657,3164
3410,3703
3953,3000
1299,3162
890,3526
646,2779
420,2694
3238,3348
4911,1372
1049,3943
3241,4362
2061,307
2269,1847
3072,2881
4072,2998
4153,789
1539,4529
2841,2478
1015,2518
2778,3349
388,3265
1330,3242
4451,55
1273,907
853,1641
785,1534
3761,22
285,1256
3403,3462
2623,264
1018,3549
3901,3395
843,4197
2642,3828
